d_bathrobes,d_bathtub,d_bidet,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_dining_table,d_dishwasher,d_elevator,d_fire_extinguisher,d_first_aid_kit,d_hair_dryer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_housekeeping,d_indoor_fireplace,d_iron,d_keypad,d_pets_allowed,d_pool,d_self_checkin,d_smart_lock,d_smoke_alarm,d_smoking_allowed,d_wifi,d_tv,d_air_conditioning,d_washer,d_sound_system,d_stove_or_oven,d_dryer,d_workspace,d_refrigerator,d_free_parking,d_kid_friendly,d_heating,d_bedroom_essentials,d_kitchenware,d_entertainment,d_clothing_storage,d_toiletries,d_fitness_centre,d_garden_backyard_balcony_agg,d_kitchen,d_safe_box,d_essentials,f_property_type,f_neighbourhood_cleansed,euro_price_day,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_bedrooms,n_minimum_nights,n_beds,n_reviews_per_month,price,id,neighbourhood_cleansed,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_bedrooms,ln_number_of_reviews,f_bedroom,f_bathroom,f_number_of_reviews,f_minimum_nights,flag_review_scores_rating,flag_reviews_per_month,flag_n_number_of_reviews
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,Entire apartment,Prenzlauer Berg Nord,42,4,1,91,300,1,2,2,2.58,42,68448,Prenzlauer Berg Nord,Entire apartment,3.7376696182833684,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,0,5.707110264748875,1,2,3,2,0,0,0
0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,Entire apartment,Kantstraße,83,2,1.5,94,60,1,3,1,0.64,83,72079,Kantstraße,Entire apartment,4.418840607796598,4,0.6931471805599453,0.4804530139182014,0,0,4.110873864173311,1,2,3,3,0,0,0
0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,Entire apartment,Schöneberg-Nord,62,2,1,96,276,1,20,2,2.31,62,73302,Schöneberg-Nord,Entire apartment,4.127134385045092,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,0,5.6240175061873385,1,2,3,3,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Entire apartment,Prenzlauer Berg Südwest,120,6,1,81,76,3,2,4,0.74,120,74614,Prenzlauer Berg Südwest,Entire apartment,4.787491742782046,36,1.791759469228055,3.210401995568401,1.3862943611198906,1.0986122886681098,4.343805421853684,3,2,3,2,0,0,0
0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,Entire apartment,Schmargendorf,49,2,1,99,124,1,2,1,1.05,49,80843,Schmargendorf,Entire apartment,3.8918202981106265,4,0.6931471805599453,0.4804530139182014,0,0,4.8283137373023015,1,2,3,2,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,Entire apartment,Regierungsviertel,155,5,1,99,43,2,4,3,0.37,155,81049,Regierungsviertel,Entire apartment,5.043425116919247,25,1.6094379124341003,2.5902903939802346,1.0986122886681098,0.6931471805599453,3.784189633918261,2,2,2,3,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,Entire apartment,Prenzlauer Berg Nord,69,2,1,99,306,1,3,1,2.6,69,81081,Prenzlauer Berg Nord,Entire apartment,4.23410650459726,4,0.6931471805599453,0.4804530139182014,0,0,5.726847747587197,1,2,3,3,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,Entire apartment,Brunnenstr. Süd,75,2,1,93,105,1,3,1,0.91,75,82893,Brunnenstr. Süd,Entire apartment,4.31748811353631,4,0.6931471805599453,0.4804530139182014,0,0,4.663439094112067,1,2,3,3,0,0,0
0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,Entire apartment,Helmholtzplatz,59,3,2,99,18,1,2,2,0.66,59,83568,Helmholtzplatz,Entire apartment,4.07753744390572,9,1.0986122886681098,1.206948960812582,0.6931471805599453,0,2.9444389791664403,1,3,2,2,0,0,0
0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,Entire apartment,Helmholtzplatz,162,5,1.5,96,306,2,1,4,2.59,162,83614,Helmholtzplatz,Entire apartment,5.087596335232384,25,1.6094379124341003,2.5902903939802346,1.3862943611198906,0.6931471805599453,5.726847747587197,2,2,3,1,0,0,0
